model,layer,C,xstest_cv_auroc,checkpoint_path,sha256
Qwen2.5-0.5B-Instruct,17,100.0,0.9868,analysis/checkpoints/xstest_Qwen2.5-0.5B-Instruct_probe.pt,dac8f8fd4258de4713b20ba6aca4dfe0b9e1e538e4b250e80daff942648a24f3
Qwen2.5-1.5B-Instruct,21,10.0,0.9928999999999999,analysis/checkpoints/xstest_Qwen2.5-1.5B-Instruct_probe.pt,d2dc009a3f444174d4a9b3ab70ec578ca817019fca5faf99d5c6c75dd7d7444b
SmolLM2-360M-Instruct,26,1.0,0.9824999999999999,analysis/checkpoints/xstest_SmolLM2-360M-Instruct_probe.pt,64733f0b712cf0db782e30cd1f827f39ec2760b0f3ffd8314e501bfd80944657
SmolLM2-1.7B-Instruct,21,100.0,0.9932000000000001,analysis/checkpoints/xstest_SmolLM2-1.7B-Instruct_probe.pt,d9df04845e0cf3768d7d4b88d4c46077bd96c2b4eba99fe84bebae4ebf4ce0e8
